trade_id,order_id,strategy_id,timestamp,side,qty,exec_price,raw_price,commission,notional,liquidity_role
TRD-000182,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.064339,66929.4,66929.4,0.0,4306.170666599999,TAKER
TRD-000183,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.00747,66929.3,66929.3,0.0,499.96187100000003,TAKER
TRD-000184,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.145977,66926.5,66926.5,0.0,9769.7296905,TAKER
TRD-000185,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.0036,66925.7,66925.7,0.0,240.93251999999998,TAKER
TRD-000186,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.034573,66924.5,66924.5,0.0,2313.7807385,TAKER
TRD-000187,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.0014,66923.7,66923.7,0.0,93.69318,TAKER
TRD-000188,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.00747,66920.3,66920.3,0.0,499.89464100000004,TAKER
TRD-000189,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.001867,66920.2,66920.2,0.0,124.9400134,TAKER
TRD-000190,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.000113,66920.0,66920.0,0.0,7.56196,TAKER
TRD-000191,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.0004,66919.1,66919.1,0.0,26.767640000000004,TAKER
TRD-000192,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.009592999999999848,66918.4,66918.4,0.0,641.9482111999898,TAKER
TRD-000193,ORD-000017,strategy-1,2026-03-02T04:33:49.393000,BUY,0.261082,66846.8,66846.8,0.0,17452.4962376,TAKER
TRD-000194,ORD-000017,strategy-1,2026-03-02T04:35:43.392000,BUY,0.625565,66785.8,66785.8,0.0,41778.858977,TAKER
TRD-000195,ORD-000017,strategy-1,2026-03-02T04:35:43.392000,BUY,0.032504,66786.4,66786.4,0.0,2170.8251456,TAKER
TRD-000196,ORD-000017,strategy-1,2026-03-02T04:35:43.392000,BUY,0.08084899999999992,66789.2,66789.2,0.0,5399.840030799995,TAKER
TRD-000197,ORD-000018,strategy-1,2026-03-02T04:40:10.592000,SELL,0.9999999999999999,66857.1,66857.1,0.0,66857.09999999999,TAKER
TRD-000198,ORD-000019,strategy-1,2026-03-02T04:43:01.392000,BUY,0.346628,66780.3,66780.3,0.0,23147.9218284,TAKER
TRD-000199,ORD-000019,strategy-1,2026-03-02T04:46:13.793000,BUY,0.08163,66705.0,66705.0,0.0,5445.12915,TAKER
TRD-000200,ORD-000019,strategy-1,2026-03-02T04:46:13.793000,BUY,0.000113,66705.9,66705.9,0.0,7.537766699999999,TAKER
TRD-000201,ORD-000019,strategy-1,2026-03-02T04:46:13.793000,BUY,0.120913,66707.0,66707.0,0.0,8065.743491,TAKER
TRD-000202,ORD-000019,strategy-1,2026-03-02T04:46:13.793000,BUY,0.0036,66707.2,66707.2,0.0,240.14592,TAKER
TRD-000203,ORD-000019,strategy-1,2026-03-02T04:46:13.793000,BUY,0.0002,66709.8,66709.8,0.0,13.341960000000002,TAKER
TRD-000204,ORD-000019,strategy-1,2026-03-02T04:46:13.793000,BUY,0.001,66711.7,66711.7,0.0,66.7117,TAKER
TRD-000205,ORD-000019,strategy-1,2026-03-02T04:46:13.793000,BUY,0.01404,66712.3,66712.3,0.0,936.6406920000001,TAKER
TRD-000206,ORD-000019,strategy-1,2026-03-02T04:46:13.793000,BUY,0.000113,66712.6,66712.6,0.0,7.5385238,TAKER
TRD-000207,ORD-000019,strategy-1,2026-03-02T04:46:13.793000,BUY,0.00112,66714.8,66714.8,0.0,74.720576,TAKER
TRD-000208,ORD-000019,strategy-1,2026-03-02T04:46:13.793000,BUY,0.208006,66715.1,66715.1,0.0,13877.1410906,TAKER
TRD-000209,ORD-000019,strategy-1,2026-03-02T04:46:13.793000,BUY,0.2226370000000001,66715.2,66715.2,0.0,14853.271982400007,TAKER
TRD-000210,ORD-000020,strategy-1,2026-03-02T04:52:57.192000,SELL,0.227683,66750.0,66750.0,0.0,15197.84025,TAKER
TRD-000211,ORD-000020,strategy-1,2026-03-02T04:54:06.392000,SELL,0.299125,66755.0,66755.0,0.0,19968.089375,TAKER
TRD-000212,ORD-000020,strategy-1,2026-03-02T04:54:06.392000,SELL,0.0004,66754.9,66754.9,0.0,26.70196,TAKER
TRD-000213,ORD-000020,strategy-1,2026-03-02T04:54:06.392000,SELL,0.0004,66754.8,66754.8,0.0,26.70192,TAKER
TRD-000214,ORD-000020,strategy-1,2026-03-02T04:54:06.392000,SELL,0.000885,66754.7,66754.7,0.0,59.0779095,TAKER
TRD-000215,ORD-000020,strategy-1,2026-03-02T04:54:06.392000,SELL,0.00749,66754.4,66754.4,0.0,499.99045599999994,TAKER
TRD-000216,ORD-000020,strategy-1,2026-03-02T04:54:06.392000,SELL,0.000113,66753.2,66753.2,0.0,7.5431116,TAKER
TRD-000217,ORD-000020,strategy-1,2026-03-02T04:54:06.392000,SELL,0.143003,66751.1,66751.1,0.0,9545.6075533,TAKER
TRD-000218,ORD-000020,strategy-1,2026-03-02T04:54:06.392000,SELL,0.03174,66750.1,66750.1,0.0,2118.648174,TAKER
TRD-000219,ORD-000020,strategy-1,2026-03-02T04:54:06.392000,SELL,0.0006,66750.0,66750.0,0.0,40.05,TAKER
TRD-000220,ORD-000020,strategy-1,2026-03-02T04:54:23.392000,SELL,0.18879,66758.2,66758.2,0.0,12603.280578,TAKER
TRD-000221,ORD-000020,strategy-1,2026-03-02T04:54:23.392000,SELL,0.0002,66758.1,66758.1,0.0,13.351620000000002,TAKER
TRD-000222,ORD-000020,strategy-1,2026-03-02T04:54:23.392000,SELL,0.0008,66758.0,66758.0,0.0,53.406400000000005,TAKER
TRD-000223,ORD-000020,strategy-1,2026-03-02T04:54:23.392000,SELL,0.007489,66757.5,66757.5,0.0,499.9469175,TAKER
TRD-000224,ORD-000020,strategy-1,2026-03-02T04:54:23.392000,SELL,0.000149,66755.0,66755.0,0.0,9.946494999999999,TAKER
TRD-000225,ORD-000020,strategy-1,2026-03-02T04:54:23.392000,SELL,0.0004,66754.9,66754.9,0.0,26.70196,TAKER
TRD-000226,ORD-000020,strategy-1,2026-03-02T04:54:23.392000,SELL,0.0004,66754.8,66754.8,0.0,26.70192,TAKER
TRD-000227,ORD-000020,strategy-1,2026-03-02T04:54:23.392000,SELL,0.000885,66754.7,66754.7,0.0,59.0779095,TAKER
TRD-000228,ORD-000020,strategy-1,2026-03-02T04:54:23.392000,SELL,0.001313,66753.2,66753.2,0.0,87.6469516,TAKER
TRD-000229,ORD-000020,strategy-1,2026-03-02T04:54:23.392000,SELL,0.001,66751.5,66751.5,0.0,66.75150000000001,TAKER
TRD-000230,ORD-000020,strategy-1,2026-03-02T04:54:23.392000,SELL,0.08713500000000007,66751.1,66751.1,0.0,5816.357098500005,TAKER
TRD-000231,ORD-000021,strategy-1,2026-03-02T04:54:23.392000,SELL,2.220446049250313e-16,66758.2,66758.2,0.0,1.4823298144506224e-11,TAKER
TRD-000232,ORD-000022,strategy-1,2026-03-02T05:04:56.992000,BUY,0.195238,66688.2,66688.2,0.0,13020.0707916,TAKER
TRD-000233,ORD-000022,strategy-1,2026-03-02T05:05:17.193000,BUY,0.29488,66662.7,66662.7,0.0,19657.496976,TAKER
TRD-000234,ORD-000022,strategy-1,2026-03-02T05:05:17.193000,BUY,0.0075,66663.1,66663.1,0.0,499.97325,TAKER
TRD-000235,ORD-000022,strategy-1,2026-03-02T05:05:17.193000,BUY,0.046238,66664.8,66664.8,0.0,3082.4470224,TAKER
TRD-000236,ORD-000022,strategy-1,2026-03-02T05:05:17.193000,BUY,0.110045,66664.9,66664.9,0.0,7336.1389205,TAKER
TRD-000237,ORD-000022,strategy-1,2026-03-02T05:05:17.193000,BUY,0.044856,66666.5,66666.5,0.0,2990.392524,TAKER
TRD-000238,ORD-000022,strategy-1,2026-03-02T05:05:17.193000,BUY,0.0036,66668.3,66668.3,0.0,240.00588,TAKER
TRD-000239,ORD-000022,strategy-1,2026-03-02T05:05:17.193000,BUY,0.001,66669.4,66669.4,0.0,66.6694,TAKER
TRD-000240,ORD-000022,strategy-1,2026-03-02T05:05:17.193000,BUY,0.14931,66669.9,66669.9,0.0,9954.482768999998,TAKER
TRD-000241,ORD-000022,strategy-1,2026-03-02T05:05:17.193000,BUY,0.03,66670.1,66670.1,0.0,2000.103,TAKER
TRD-000242,ORD-000022,strategy-1,2026-03-02T05:05:17.193000,BUY,0.11733299999999999,66670.6,66670.6,0.0,7822.6615098,TAKER
TRD-000243,ORD-000023,strategy-1,2026-03-02T05:11:33.793000,SELL,0.228571,66701.2,66701.2,0.0,15245.9599852,TAKER
TRD-000244,ORD-000023,strategy-1,2026-03-02T05:12:47.793000,SELL,0.7714289999999999,66715.4,66715.4,0.0,51466.19430659999,TAKER
TRD-000245,ORD-000024,strategy-1,2026-03-02T05:20:38.393000,BUY,0.394943,66716.5,66716.5,0.0,26349.214659499998,TAKER
TRD-000246,ORD-000024,strategy-1,2026-03-02T05:23:35.592000,BUY,0.380256,66707.5,66707.5,0.0,25365.92712,TAKER
TRD-000247,ORD-000024,strategy-1,2026-03-02T05:23:35.592000,BUY,0.22480099999999997,66708.2,66708.2,0.0,14996.070068199997,TAKER
TRD-000248,ORD-000025,strategy-1,2026-03-02T05:33:52.393000,SELL,0.205576,66728.5,66728.5,0.0,13717.778116000001,TAKER
TRD-000249,ORD-000025,strategy-1,2026-03-02T05:34:09.792000,SELL,0.188269,66729.0,66729.0,0.0,12563.002101,TAKER
TRD-000250,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.234664,66756.1,66756.1,0.0,15665.253450400001,TAKER
TRD-000251,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.028367,66756.0,66756.0,0.0,1893.667452,TAKER
TRD-000252,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.025369,66755.9,66755.9,0.0,1693.5304270999998,TAKER
TRD-000253,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.0004,66752.0,66752.0,0.0,26.7008,TAKER
TRD-000254,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.073516,66751.9,66751.9,0.0,4907.3326804,TAKER
TRD-000255,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.007874,66751.8,66751.8,0.0,525.6036732000001,TAKER
TRD-000256,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.194795,66751.2,66751.2,0.0,13002.800003999999,TAKER
TRD-000257,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.025169,66750.5,66750.5,0.0,1680.0433345000001,TAKER
TRD-000258,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.001,66749.4,66749.4,0.0,66.7494,TAKER
TRD-000259,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.0002,66748.9,66748.9,0.0,13.349779999999999,TAKER
TRD-000260,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.00749,66746.6,66746.6,0.0,499.93203400000004,TAKER
TRD-000261,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.000113,66746.5,66746.5,0.0,7.5423545,TAKER
TRD-000262,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.000957,66746.4,66746.4,0.0,63.87630479999999,TAKER
TRD-000263,ORD-000025,strategy-1,2026-03-02T05:34:28.192000,SELL,0.006241000000000066,66745.2,66745.2,0.0,416.5567932000044,TAKER
TRD-000264,ORD-000026,strategy-1,2026-03-02T05:52:16.993000,BUY,0.163713,66852.2,66852.2,0.0,10944.574218599999,TAKER
TRD-000265,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.135268,66828.1,66828.1,0.0,9039.7034308,TAKER
TRD-000266,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.0036,66831.7,66831.7,0.0,240.59411999999998,TAKER
TRD-000267,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.000113,66833.2,66833.2,0.0,7.552151599999999,TAKER
TRD-000268,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.007482,66833.3,66833.3,0.0,500.0467506,TAKER
TRD-000269,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.0004,66833.5,66833.5,0.0,26.7334,TAKER
TRD-000270,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.120832,66834.8,66834.8,0.0,8075.7825536,TAKER
TRD-000271,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.017993,66834.9,66834.9,0.0,1202.5603556999997,TAKER
TRD-000272,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.0862,66835.1,66835.1,0.0,5761.18562,TAKER
TRD-000273,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.0004,66836.2,66836.2,0.0,26.73448,TAKER
TRD-000274,ORD-000026,strategy-1,2026-03-02T05:52:35.592000,BUY,0.007482,66839.8,66839.8,0.0,500.0953836,TAKER
